node	og	cluster	og_cluster
Anoalb_Anoalb_AALB001334-RA	OG0000000		OG0000000_nan
Anoalb_Anoalb_AALB002504-RA	OG0000000	10	OG0000000_10
Anoalb_Anoalb_AALB002511-RA	OG0000000	2	OG0000000_2
Anoalb_Anoalb_AALB002512-RA	OG0000000	3	OG0000000_3
Anoalb_Anoalb_AALB003039-RA	OG0000000	4	OG0000000_4
Anoalb_Anoalb_AALB008232-RA	OG0000000	9	OG0000000_9
Anoalb_Anoalb_AALB008239-RA	OG0000000	12	OG0000000_12
Anoalb_Anoalb_AALB008240-RA	OG0000000	20	OG0000000_20
Anoalb_Anoalb_AALB015485-RA	OG0000000	0	OG0000000_0
Anoalb_Anoalb_AALB015519-RA	OG0000000	1	OG0000000_1
Anoalb_Anoalb_AALB015520-RD	OG0000000	6	OG0000000_6
Anoalb_Anoalb_AALB015661-RA	OG0000000	8	OG0000000_8
Anoalb_Anoalb_AALB015662-RA	OG0000000	5	OG0000000_5
Anoalb_Anoalb_AALB015664-RA	OG0000000	14	OG0000000_14
Anoalb_Anoalb_AALB015707-RA	OG0000000	11	OG0000000_11
Anoalb_Anoalb_AALB015708-RA	OG0000000	7	OG0000000_7
Anoalb_Anoalb_AALB015709-RA	OG0000000	13	OG0000000_13
Anoatr_Anoatr_AATE000412-RA	OG0000000	3	OG0000000_3
Anoatr_Anoatr_AATE001729-RA	OG0000000	6	OG0000000_6
Anoatr_Anoatr_AATE002325-RA	OG0000000	16	OG0000000_16
Anoatr_Anoatr_AATE002419-RA	OG0000000	1	OG0000000_1
Anoatr_Anoatr_AATE003944-RA	OG0000000	8	OG0000000_8
Anoatr_Anoatr_AATE004024-RA	OG0000000	21	OG0000000_21
Anoatr_Anoatr_AATE005378-RA	OG0000000	14	OG0000000_14
Anoatr_Anoatr_AATE007919-RA	OG0000000	13	OG0000000_13
Anoatr_Anoatr_AATE008634-RA	OG0000000	10	OG0000000_10
Anoatr_Anoatr_AATE009960-RA	OG0000000	9	OG0000000_9
Anoatr_Anoatr_AATE010437-RA	OG0000000		OG0000000_nan
Anoatr_Anoatr_AATE011484-RA	OG0000000	2	OG0000000_2
Anoatr_Anoatr_AATE011930-RA	OG0000000	4	OG0000000_4
Anoatr_Anoatr_AATE013707-RA	OG0000000	5	OG0000000_5
Anoatr_Anoatr_AATE015201-RA	OG0000000	7	OG0000000_7
Anoatr_Anoatr_AATE016569-RA	OG0000000	17	OG0000000_17
Anoatr_Anoatr_AATE018333-RA	OG0000000	19	OG0000000_19
Anoatr_Anoatr_AATE018750-RA	OG0000000	23	OG0000000_23
Anoatr_Anoatr_AATE019631-RA	OG0000000	22	OG0000000_22
Anoatr_Anoatr_AATE020101-RA	OG0000000	0	OG0000000_0
Anoatr_Anoatr_AATE020191-RA	OG0000000	12	OG0000000_12
Anoatr_Anoatr_AATE020812-RA	OG0000000	20	OG0000000_20
Anochr_Anochr_ACHR000324-RA	OG0000000	3	OG0000000_3
Anochr_Anochr_ACHR000325-RA	OG0000000	2	OG0000000_2
Anochr_Anochr_ACHR000326-RA	OG0000000	1	OG0000000_1
Anochr_Anochr_ACHR000327-RA	OG0000000	0	OG0000000_0
Anochr_Anochr_ACHR000879-RA	OG0000000	13	OG0000000_13
Anochr_Anochr_ACHR000880-RA	OG0000000	13	OG0000000_13
Anochr_Anochr_ACHR000881-RA	OG0000000	14	OG0000000_14
Anochr_Anochr_ACHR003003-RA	OG0000000	20	OG0000000_20
Anochr_Anochr_ACHR003004-RA	OG0000000	12	OG0000000_12
Anochr_Anochr_ACHR006336-RA	OG0000000	10	OG0000000_10
Anochr_Anochr_ACHR006337-RA	OG0000000	7	OG0000000_7
Anochr_Anochr_ACHR009018-RA	OG0000000	4	OG0000000_4
Anochr_Anochr_ACHR009202-RA	OG0000000	8	OG0000000_8
Anochr_Anochr_ACHR009481-RA	OG0000000	5	OG0000000_5
Anocul_Anocul_ACUA001525-RA	OG0000000	2	OG0000000_2
Anocul_Anocul_ACUA004926-RA	OG0000000	1	OG0000000_1
Anocul_Anocul_ACUA005702-RA	OG0000000	12	OG0000000_12
Anocul_Anocul_ACUA009867-RA	OG0000000	5	OG0000000_5
Anocul_Anocul_ACUA010413-RA	OG0000000	18	OG0000000_18
Anocul_Anocul_ACUA013308-RA	OG0000000	7	OG0000000_7
Anocul_Anocul_ACUA013834-RA	OG0000000	10	OG0000000_10
Anocul_Anocul_ACUA016401-RA	OG0000000	6	OG0000000_6
Anocul_Anocul_ACUA016529-RA	OG0000000	3	OG0000000_3
Anocul_Anocul_ACUA017287-RA	OG0000000	15	OG0000000_15
Anocul_Anocul_ACUA018593-RA	OG0000000	16	OG0000000_16
Anocul_Anocul_ACUA018873-RA	OG0000000	0	OG0000000_0
Anocul_Anocul_ACUA021086-RA	OG0000000	13	OG0000000_13
Anocul_Anocul_ACUA024059-RA	OG0000000	14	OG0000000_14
Anocul_Anocul_ACUA024388-RA	OG0000000	4	OG0000000_4
Anocul_Anocul_ACUA025404-RA	OG0000000	20	OG0000000_20
Anocul_Anocul_ACUA026754-RA	OG0000000	19	OG0000000_19
Anocul_Anocul_ACUA028234-RA	OG0000000	9	OG0000000_9
Anodar_Anodar_ADAC001794-RA	OG0000000	9	OG0000000_9
Anodar_Anodar_ADAC002823-RA	OG0000000	16	OG0000000_16
Anodar_Anodar_ADAC002826-RA	OG0000000	17	OG0000000_17
Anodar_Anodar_ADAC006860-RA	OG0000000	12	OG0000000_12
Anodar_Anodar_ADAC006861-RA	OG0000000	20	OG0000000_20
Anodar_Anodar_ADAC007763-RA	OG0000000	4	OG0000000_4
Anodar_Anodar_ADAC008528-RA	OG0000000	5	OG0000000_5
Anodar_Anodar_ADAC008529-RA	OG0000000	10	OG0000000_10
Anodar_Anodar_ADAC008530-RA	OG0000000	11	OG0000000_11
Anodar_Anodar_ADAC008531-RA	OG0000000	7	OG0000000_7
